City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
341,Namibe,AO,77.0,broken clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
343,Sinnai,IT,84.2,clear sky,39.3,9.2,La Rosa Dei Venti Sardinya
344,Jiwani,PK,78.8,clear sky,35.92,74.31,Tourist Hamlet Gilgit
348,Katsuura,JP,80.6,broken clouds,34.0,131.87,Hotel AZ Yamaguchi Kudamatsu
349,Sur,OM,80.6,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
350,Imola,IT,84.2,clear sky,39.3,9.2,La Rosa Dei Venti Sardinya
352,Cidreira,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
353,Olinda,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
354,Alugan,PH,81.39,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
355,Pingliang,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
356,Miri,MY,77.0,overcast clouds,1.24,111.46,Seri Simanggang Hotel
358,Solwezi,ZM,79.48,broken clouds,-13.54,23.1,Royal Kutachika Lodge
360,Feicheng,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
365,Samarai,PG,82.11,overcast clouds,-2.57,150.8,Nusa Island Retreat
366,Lashio,MM,82.11,light rain,20.15,92.9,Hotel Memory
367,Alexandria,EG,86.0,clear sky,31.22,29.96,Royal Crown Hotel
375,Ponta Delgada,PT,78.8,few clouds,38.52,-28.7,Quinta da Meia Eira
377,Pozo Colorado,PY,85.48,clear sky,-23.49,-58.8,Hospedaje la Amistad
378,Los Llanos De Aridane,ES,86.0,clear sky,42.14,-0.41,Hotel Sancho Abarca SPA Huesca
379,Ahumada,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
380,Fomboni,KM,77.34,light rain,-12.28,43.74,Auberge les abou
382,Ancud,BR,77.63,few clouds,-24.79,-50.01,CHACARA BAILLY
383,Fujin,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
384,Soyo,AO,77.0,broken clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
389,San Quintin,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
390,Vanimo,PG,82.11,overcast clouds,-2.57,150.8,Nusa Island Retreat
393,Ixtapa,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
396,Vila Franca Do Campo,PT,78.8,few clouds,38.52,-28.7,Quinta da Meia Eira
398,Wajir,KE,75.97,clear sky,-2.27,40.9,Lamu House
400,Bolobo,CD,78.55,clear sky,-7.0,23.45,Hôtel Kamas
401,Odweyne,SO,83.37,broken clouds,4.12,43.89,Banjanay Hotel
403,Puerto Del Rosario,ES,86.0,clear sky,42.14,-0.41,Hotel Sancho Abarca SPA Huesca
407,Methoni,GR,87.8,few clouds,39.62,22.37,Divani Palace Larissa
411,Inongo,CD,78.55,clear sky,-7.0,23.45,Hôtel Kamas
413,Palu,ID,79.36,overcast clouds,-6.88,112.21,bador sepret
415,Guatire,VE,76.6,overcast clouds,9.06,-62.05,Hotel Tucupita Su​ite C.A.
418,Draganesti De Vede,RO,79.56,overcast clouds,44.13,25.05,Pensiunea Family Zone
423,Haicheng,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
425,Kuche,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
429,Kieta,PG,82.11,overcast clouds,-2.57,150.8,Nusa Island Retreat
430,Progreso,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
434,Kambove,CD,78.55,clear sky,-7.0,23.45,Hôtel Kamas
436,Wexford,PH,77.11,overcast clouds,11.0,122.67,Camp Pasica
438,Maturin,VE,76.6,overcast clouds,9.06,-62.05,Hotel Tucupita Su​ite C.A.
440,Santarem,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
442,Guanhaes,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
444,Jiuquan,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
446,Sao Felix Do Xingu,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
447,La Paz,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
452,Tarauaca,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
453,Ituiutaba,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
457,Shingu,JP,80.6,broken clouds,34.0,131.87,Hotel AZ Yamaguchi Kudamatsu
459,Guadalupe Y Calvo,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
460,Saint-Francois,FR,78.8,few clouds,46.42,3.91,Manoir Du Bonheur
467,Pathein,MM,82.11,light rain,20.15,92.9,Hotel Memory
472,Zhangye,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
473,Karamay,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
474,Coihueco,BR,77.63,few clouds,-24.79,-50.01,CHACARA BAILLY
475,Anshan,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
476,Hunza,PK,78.8,clear sky,35.92,74.31,Tourist Hamlet Gilgit
477,Hengshui,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
480,Chak Jhumra,PK,78.8,clear sky,35.92,74.31,Tourist Hamlet Gilgit
483,Shenjiamen,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
485,Viligili,MV,82.13,scattered clouds,-0.6,73.08,Scoop Guest House
486,Vila,VU,77.0,overcast clouds,-13.88,167.55,Leumerus Bungalows
487,Kisangani,CD,78.55,clear sky,-7.0,23.45,Hôtel Kamas
492,Tecoanapa,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
498,Gushi,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
504,Kamiiso,JP,80.6,broken clouds,34.0,131.87,Hotel AZ Yamaguchi Kudamatsu
506,Meulaboh,ID,79.36,overcast clouds,-6.88,112.21,bador sepret
507,Slonim,HR,77.0,few clouds,45.29,14.65,Sobe Zlobin
508,Yinchuan,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
514,Hobyo,SO,83.37,broken clouds,4.12,43.89,Banjanay Hotel
516,Luanda,AO,77.0,broken clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
519,Ulcinj,ME,78.8,broken clouds,41.93,19.22,Hotel Mediteran
520,Bandarbeyla,SO,83.37,broken clouds,4.12,43.89,Banjanay Hotel
521,Santa Maria,PY,85.48,clear sky,-23.49,-58.8,Hospedaje la Amistad
524,Korla,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
526,Hatton,LK,78.94,broken clouds,5.95,80.54,Amaloh Boutique Resort
527,Chapadinha,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
528,Saurimo,AO,77.0,broken clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
530,Palabuhanratu,ID,79.36,overcast clouds,-6.88,112.21,bador sepret
531,Mahadday Weyne,SO,83.37,broken clouds,4.12,43.89,Banjanay Hotel
534,Santa Barbara,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
