City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Leningradskiy,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
211,Port Augusta,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
212,Katsuura,JP,24.34,124.16,82.4,94,75,3.36,broken clouds
213,Eyrarbakki,IS,63.44,-20.27,42.8,70,20,18.34,few clouds
214,Severo-Kurilsk,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
215,Talnakh,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
216,La Ronge,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
217,Bushenyi,UG,-0.59,30.21,59.09,73,0,1.99,clear sky
218,Kurchum,KZ,50.41,80.23,55.4,87,75,8.95,broken clouds
219,Inhambane,MZ,-23.86,35.38,65.19,78,33,9.44,scattered clouds
220,Sept-Iles,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
221,Horki,BY,54.29,30.98,59.49,94,100,7.76,overcast clouds
222,Taltal,CL,-53.15,-70.92,37.4,74,70,5.82,broken clouds
223,Char Bhadrasan,BD,23.32,90.22,86.0,70,40,5.82,haze
224,Havoysund,NO,69.13,18.61,41.0,100,66,10.29,broken clouds
225,Ballina,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
226,Burnie,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
227,Quatre Cocos,MU,-20.34,57.76,66.99,82,75,8.05,shower rain
228,Sao Jose Da Coroa Grande,BR,-22.97,-42.03,71.17,87,0,22.35,clear sky
229,Camacha,PT,33.07,-16.34,69.8,77,20,6.93,few clouds
230,Santa Cruz,CR,10.15,-85.45,75.72,87,96,0.92,overcast clouds
231,Sisimiut,GL,64.18,-51.72,48.2,81,100,20.8,light snow
232,Teguise,ES,28.66,-17.92,73.4,73,90,6.93,overcast clouds
233,Kaitangata,NZ,-35.17,173.17,57.9,60,0,7.85,clear sky
234,Port-Cartier,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
235,Pevek,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
236,Stornoway,GB,58.21,-6.39,54.0,87,28,18.34,scattered clouds
237,Puerto Escondido,MX,20.87,-90.4,82.54,79,41,15.68,light rain
238,Labuhan,ID,-8.62,122.21,84.7,57,54,1.66,broken clouds
239,Freeport,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
240,Porto Torres,IT,39.17,8.52,70.0,93,5,2.24,clear sky
241,San Luis,IT,45.17,10.78,62.01,89,0,3.13,clear sky
242,Sitka,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
243,Ponta Do Sol,CV,14.92,-23.51,78.8,88,75,8.05,broken clouds
244,Chichi,NG,7.27,8.93,73.76,94,100,10.96,overcast clouds
245,Harper,LR,4.38,-7.72,75.47,90,94,9.4,light rain
246,Bereda,ES,43.27,-7.54,61.0,100,0,1.99,clear sky
247,Zarichne,UA,51.81,26.13,53.15,85,100,4.59,overcast clouds
248,Kamenka,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
249,Bargal,ES,43.27,-7.54,61.0,100,0,1.99,clear sky
250,Amderma,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
251,Aksha,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
252,Maragogi,BR,-22.97,-42.03,71.17,87,0,22.35,clear sky
253,Comodoro Rivadavia,AR,-38.0,-57.56,51.01,87,50,16.11,light rain
254,Eten,PE,-13.7,-76.22,59.0,82,0,10.29,clear sky
255,Butembo,CD,-8.74,24.99,66.6,45,0,3.74,clear sky
256,Meulaboh,ID,-8.62,122.21,84.7,57,54,1.66,broken clouds
257,Beringovskiy,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
258,Udachnyy,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
259,San Cristobal,EC,-0.74,-90.35,66.0,91,89,5.01,overcast clouds
260,Nkhata Bay,MW,-11.61,34.29,68.68,71,5,9.71,clear sky
261,Richards Bay,ZA,-33.92,25.57,50.0,87,0,4.7,clear sky
262,Broken Hill,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
263,Sabha,LY,32.12,20.07,77.92,77,0,14.79,clear sky
264,Butterworth,ZA,-33.92,25.57,50.0,87,0,4.7,clear sky
265,Chiguayante,CL,-53.15,-70.92,37.4,74,70,5.82,broken clouds
266,Grand River South East,MU,-20.34,57.76,66.99,82,75,8.05,shower rain
267,Dibulla,CO,11.27,-73.31,78.01,79,98,3.24,overcast clouds
268,Naze,JP,24.34,124.16,82.4,94,75,3.36,broken clouds
269,Havre-Saint-Pierre,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
270,Caravelas,BR,-22.97,-42.03,71.17,87,0,22.35,clear sky
271,Acapulco,MX,20.87,-90.4,82.54,79,41,15.68,light rain
272,Ojinaga,MX,20.87,-90.4,82.54,79,41,15.68,light rain
273,Mataram,ID,-8.62,122.21,84.7,57,54,1.66,broken clouds
274,Honningsvag,NO,69.13,18.61,41.0,100,66,10.29,broken clouds
275,Provideniya,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
276,Bairiki,KI,3.07,172.79,83.19,66,20,2.1,few clouds
277,Kwinana,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
278,Neuquen,AR,-38.0,-57.56,51.01,87,50,16.11,light rain
279,Grand Centre,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
280,Sovetskiy,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
281,Biabou,VC,13.2,-61.13,78.8,88,20,5.64,few clouds
282,Vila Franca Do Campo,PT,33.07,-16.34,69.8,77,20,6.93,few clouds
283,Kahului,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
284,Bunda,TZ,-2.05,33.87,69.8,77,75,3.36,broken clouds
285,Tazovskiy,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
286,Karratha,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
287,Eruwa,NG,7.53,3.42,70.5,100,100,3.11,overcast clouds
288,Trat,TH,12.5,102.5,82.4,88,75,4.09,broken clouds
289,Khandyga,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
290,Luohe,CN,30.99,103.94,82.0,18,3,1.01,clear sky
291,Hambantota,LK,5.95,80.54,82.85,78,56,8.12,broken clouds
292,Mabaruma,GY,8.2,-59.78,73.76,97,100,2.66,overcast clouds
293,Vokhma,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
294,Shu,KZ,50.41,80.23,55.4,87,75,8.95,broken clouds
295,Maltahohe,NA,-26.65,15.16,52.36,82,0,1.61,clear sky
296,Avera,NZ,-46.19,168.86,58.33,57,100,5.48,overcast clouds
297,Tshela,CD,-8.74,24.99,66.6,45,0,3.74,clear sky
298,Kadyy,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
299,Kivsharivka,UA,51.81,26.13,53.15,85,100,4.59,overcast clouds
300,Tukrah,LY,32.12,20.07,77.92,77,0,14.79,clear sky
301,Sal Rei,CV,14.92,-23.51,78.8,88,75,8.05,broken clouds
302,Kota Kinabalu,MY,5.97,116.07,87.8,74,20,3.36,few clouds
303,Vallenar,CL,-53.15,-70.92,37.4,74,70,5.82,broken clouds
304,Baruun-Urt,MN,49.49,105.92,65.91,60,0,5.68,clear sky
305,Tual,ID,-8.62,122.21,84.7,57,54,1.66,broken clouds
306,Teya,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
307,Huarmey,PE,-13.7,-76.22,59.0,82,0,10.29,clear sky
308,Te Anau,NZ,-35.17,173.17,57.9,60,0,7.85,clear sky
309,Port Macquarie,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
310,Brae,GB,58.21,-6.39,54.0,87,28,18.34,scattered clouds
311,Fairbanks,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
312,Lavrentiya,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
313,Akita,JP,24.34,124.16,82.4,94,75,3.36,broken clouds
314,Jacareacanga,BR,-22.97,-42.03,71.17,87,0,22.35,clear sky
315,Nome,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
316,Berlevag,NO,69.13,18.61,41.0,100,66,10.29,broken clouds
317,Guanica,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
318,Moissala,SA,18.39,42.45,64.4,31,0,8.23,clear sky
319,Desaguadero,PE,-13.7,-76.22,59.0,82,0,10.29,clear sky
320,Strezhevoy,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
321,Vao,NC,-22.67,167.48,66.42,70,16,21.81,few clouds
322,Nuevitas,IT,45.17,10.78,62.01,89,0,3.13,clear sky
323,Cayenne,GF,4.93,-52.33,78.8,88,1,3.36,clear sky
324,Tuktoyaktuk,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
325,Kutahya,TR,37.76,39.32,78.8,16,0,11.41,clear sky
326,Yuzhou,CN,30.99,103.94,82.0,18,3,1.01,clear sky
327,Kungurtug,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
328,Kieta,PG,-10.62,150.67,78.46,80,81,14.83,broken clouds
329,Qeshm,IR,36.42,54.98,65.01,26,0,3.38,clear sky
330,Mount Gambier,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
331,Amuntai,ID,-8.62,122.21,84.7,57,54,1.66,broken clouds
332,Ostrovnoy,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
333,Altamont,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
334,Nabire,ID,-8.62,122.21,84.7,57,54,1.66,broken clouds
335,Trollhattan,SE,58.23,12.42,59.0,93,84,8.05,broken clouds
336,Tacoronte,ES,28.66,-17.92,73.4,73,90,6.93,overcast clouds
337,Ciechanow,PL,52.88,20.62,51.8,100,38,5.82,scattered clouds
338,Palabuhanratu,ID,-8.62,122.21,84.7,57,54,1.66,broken clouds
339,Mount Pleasant,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
340,Sao Filipe,CV,14.92,-23.51,78.8,88,75,8.05,broken clouds
341,Namatanai,PG,-10.62,150.67,78.46,80,81,14.83,broken clouds
342,Cascais,PT,33.07,-16.34,69.8,77,20,6.93,few clouds
343,Nieuw Nickerie,SR,5.95,-56.98,80.67,83,25,12.08,light rain
344,Hobyo,ES,43.27,-7.54,61.0,100,0,1.99,clear sky
345,Rio Gallegos,AR,-38.0,-57.56,51.01,87,50,16.11,light rain
346,Pingliang,CN,30.99,103.94,82.0,18,3,1.01,clear sky
347,Atbasar,KZ,50.41,80.23,55.4,87,75,8.95,broken clouds
348,Aykhal,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
349,Ullapool,GB,58.21,-6.39,54.0,87,28,18.34,scattered clouds
350,Ulladulla,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
351,Tambovka,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
352,Faanui,NZ,-46.19,168.86,58.33,57,100,5.48,overcast clouds
353,Granicesti,RO,47.82,26.07,59.0,93,75,13.87,broken clouds
354,Wilmington,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
