City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Paka,MY,2020-08-30 20:30:48,4.64,103.44,78.8,88,90,2.24
167,Grand Gaube,MU,2020-08-30 20:30:48,-20.01,57.66,71.01,77,1,7.0
168,Punta Arenas,CL,2020-08-30 20:29:29,-53.15,-70.92,35.6,47,75,20.8
169,Singaraja,ID,2020-08-30 20:30:08,-8.11,115.09,75.9,70,97,4.85
170,Cabedelo,BR,2020-08-30 20:30:49,-6.98,-34.83,78.8,74,64,12.75
171,Dangeni,RO,2020-08-30 20:30:49,47.85,26.97,73.99,53,0,8.05
172,Avarua,CK,2020-08-30 20:30:12,-21.21,-159.78,77.0,73,20,18.34
173,Busselton,AU,2020-08-30 20:30:27,-33.65,115.33,39.99,75,0,3.74
174,San Carlos De Bariloche,AR,2020-08-30 20:30:24,-41.15,-71.31,48.2,49,41,18.34
175,Usvyaty,RU,2020-08-30 20:30:50,55.75,30.75,56.32,97,93,6.44
176,Okhotsk,RU,2020-08-30 20:30:50,59.38,143.3,55.27,81,100,11.95
177,College,US,2020-08-30 20:30:06,64.86,-147.8,62.01,48,20,5.82
178,Busselton,AU,2020-08-30 20:30:27,-33.65,115.33,39.99,75,0,3.74
179,Port Hedland,AU,2020-08-30 20:30:51,-20.32,118.57,68.0,34,2,9.17
180,Nikolskoye,RU,2020-08-30 20:26:36,59.7,30.79,60.01,87,93,4.47
181,Port Augusta,AU,2020-08-30 20:30:51,-32.5,137.77,51.8,71,90,8.05
182,Mayo,US,2020-08-30 20:30:40,38.89,-76.51,82.0,47,1,6.93
183,Ouallam,NE,2020-08-30 20:30:51,14.32,2.09,84.74,61,100,9.55
184,Rikitea,PF,2020-08-30 20:30:15,-23.12,-134.97,69.03,83,23,19.69
185,Mataura,NZ,2020-08-30 20:30:25,-46.19,168.86,52.75,54,61,9.71
186,Vaini,TO,2020-08-30 20:32:08,-21.2,-175.2,77.0,83,75,12.75
187,Saint-Francois,FR,2020-08-30 20:32:08,46.42,3.91,59.0,77,75,4.7
188,Barrow,US,2020-08-30 20:32:09,71.29,-156.79,39.2,93,90,14.99
189,Sal Rei,CV,2020-08-30 20:32:09,16.18,-22.92,80.6,65,75,11.41
190,Punta Arenas,CL,2020-08-30 20:32:09,-53.15,-70.92,35.6,47,75,20.8
191,Mataura,NZ,2020-08-30 20:30:10,-46.19,168.86,52.75,54,61,9.71
192,Puerto Ayora,EC,2020-08-30 20:32:10,-0.74,-90.35,77.0,57,100,6.93
193,Port Moresby,PG,2020-08-30 20:27:43,-9.44,147.18,77.0,94,75,17.22
194,Prince Rupert,CA,2020-08-30 20:32:10,54.32,-130.32,55.4,87,90,5.82
195,Punta Arenas,CL,2020-08-30 20:29:29,-53.15,-70.92,35.6,47,75,20.8
196,Shache,CN,2020-08-30 20:32:11,38.42,77.24,64.27,37,77,7.16
197,Marienburg,PL,2020-08-30 20:32:11,54.04,19.03,64.0,82,100,4.7
198,Talnakh,RU,2020-08-30 20:30:42,69.49,88.4,46.4,100,90,13.42
199,Ostrovnoy,RU,2020-08-30 20:26:28,68.05,39.51,45.12,87,51,7.87
200,El Rusio,HN,2020-08-30 20:32:11,14.47,-86.37,84.83,50,0,5.48
201,Dong Xoai,VN,2020-08-30 20:32:12,11.53,106.92,74.86,96,59,2.13
202,Saint George,US,2020-08-30 20:27:48,37.1,-113.58,96.01,17,1,4.7
203,Jamestown,US,2020-08-30 20:26:33,42.1,-79.24,70.0,59,90,6.93
204,Huilong,CN,2020-08-30 20:32:12,31.81,121.66,84.0,95,2,7.61
205,Georgetown,MY,2020-08-30 20:28:51,5.41,100.34,80.6,94,40,2.24
206,Tuktoyaktuk,CA,2020-08-30 20:30:20,69.45,-133.04,41.0,93,90,17.22
207,Noumea,NC,2020-08-30 20:32:13,-22.28,166.46,55.4,87,47,3.36
208,Lodwar,KE,2020-08-30 20:32:14,3.12,35.6,87.87,33,29,5.61
209,Bandundu,CD,2020-08-30 20:32:14,-3.32,17.37,81.81,66,100,2.51
210,Hermanus,ZA,2020-08-30 20:30:11,-34.42,19.23,39.99,91,2,12.35
211,Namwala,ZM,2020-08-30 20:32:15,-15.75,26.44,70.2,37,0,5.5
212,Punta Arenas,CL,2020-08-30 20:29:29,-53.15,-70.92,35.6,47,75,20.8
213,Airai,TL,2020-08-30 20:28:14,-8.93,125.41,56.48,100,9,4.14
214,Busselton,AU,2020-08-30 20:30:27,-33.65,115.33,39.99,75,0,3.74
215,Vaini,TO,2020-08-30 20:30:11,-21.2,-175.2,77.0,83,75,12.75
216,Saint-Francois,FR,2020-08-30 20:32:17,46.42,3.91,59.0,77,75,4.7
217,Broome,US,2020-08-30 20:27:42,42.25,-75.83,71.01,46,20,9.17
218,Road Town,VG,2020-08-30 20:30:46,18.42,-64.62,87.8,66,40,16.11
219,Ushuaia,AR,2020-08-30 20:26:07,-54.8,-68.3,28.4,92,75,24.16
220,Ushuaia,AR,2020-08-30 20:26:07,-54.8,-68.3,28.4,92,75,24.16
221,Mataura,NZ,2020-08-30 20:30:25,-46.19,168.86,52.75,54,61,9.71
222,Mahebourg,MU,2020-08-30 20:30:37,-20.41,57.7,69.8,94,40,18.34
223,Saint-Augustin,CA,2020-08-30 20:32:18,51.23,-58.65,56.21,68,47,18.84
224,Atuona,PF,2020-08-30 20:32:19,-9.8,-139.03,78.1,80,42,21.34
225,Mayahi,NE,2020-08-30 20:32:19,13.96,7.67,85.84,53,64,7.43
226,Yerbogachen,RU,2020-08-30 20:32:19,61.28,108.01,48.33,88,46,3.69
227,Kavaratti,IN,2020-08-30 20:32:19,10.57,72.64,82.04,77,82,10.42
228,Punta Arenas,CL,2020-08-30 20:29:29,-53.15,-70.92,35.6,47,75,20.8
229,Arraial Do Cabo,BR,2020-08-30 20:27:40,-22.97,-42.03,80.6,73,0,16.11
230,Rikitea,PF,2020-08-30 20:30:15,-23.12,-134.97,69.03,83,23,19.69
231,Emerald,AU,2020-08-30 20:32:20,-23.53,148.17,53.6,100,0,5.82
232,Kodiak,US,2020-08-30 20:32:20,57.79,-152.41,53.6,87,90,11.41
233,Bluff,NZ,2020-08-30 20:30:16,-46.6,168.33,52.9,62,71,22.35
234,Busselton,AU,2020-08-30 20:30:27,-33.65,115.33,39.99,75,0,3.74
235,Hobart,AU,2020-08-30 20:25:52,-42.88,147.33,43.0,60,20,10.29
236,Avarua,CK,2020-08-30 20:30:12,-21.21,-159.78,77.0,73,20,18.34
237,Barreirinhas,BR,2020-08-30 20:32:21,-2.75,-42.83,80.6,73,7,13.31
238,Chauk,MM,2020-08-30 20:32:21,20.88,94.82,81.09,81,100,7.81
239,Bambous Virieux,MU,2020-08-30 20:30:46,-20.34,57.76,71.01,94,40,18.34
240,Chopinzinho,BR,2020-08-30 20:32:22,-25.86,-52.52,71.65,74,34,0.89
241,Chuy,UY,2020-08-30 20:30:34,-33.7,-53.46,47.34,71,93,5.73
